id	Correlation(r,p-value)
22014135	(0.9999994602909597, 3.80273220569962e-22)
22014136	(0.9999993139766477, 8.804869112051243e-22)
22014139	(0.9988300581349473, 1.801432293941901e-10)
22014141	(0.9999882516294081, 1.8300114912515714e-17)
22014142	(0.9999859077140953, 3.459124197994977e-17)
22014144	(0.9984643565620581, 4.665571298389731e-10)
22014145	(0.9985841757440765, 3.511331310883607e-10)
22014149	(0.9999156179198803, 1.8170932351737325e-14)
22014150	(0.9999924283138746, 3.932855210480288e-18)
22014153	(0.9999967050882382, 2.1379075206877288e-19)
22014157	(0.9998590635324912, 1.0941059346390634e-13)
22014159	(0.9999982898342168, 2.153624925925761e-20)
22014160	(0.999999747721773, 2.6553155261867234e-23)
22014161	(0.9997616180983886, 6.884824421479964e-13)
22014162	(0.9996941465826032, 1.6470416403349541e-12)
22014163	(0.9998881499324473, 4.872105637701317e-14)
22014164	(0.9978101000761208, 1.6147190891873195e-09)
22014166	(0.9999998278634928, 6.967747847796503e-24)
22014167	(0.9999989862519439, 3.453756685136052e-21)
22014169	(0.9998035307250049, 3.499333518294159e-13)
22014170	(0.9997843673860491, 4.846704727407062e-13)
22014171	(0.9999936257133106, 2.1530044525125273e-18)
22014172	(0.9999263762466439, 1.1273760355564691e-14)
22014176	(0.9999382561165554, 6.089614077057164e-15)
22014179	(0.9999925964923752, 3.635509368295345e-18)
22014187	(0.9986372181470817, 3.072229770920997e-10)
22014188	(0.9996118530039343, 3.7919268442475645e-12)
22014195	(0.9999998326263951, 6.3159890790884884e-24)
22014199	(0.9992471700962505, 3.851750532300806e-11)
22014201	(0.9989568764818386, 1.2057897968903253e-10)
22014208	(0.9999913244562063, 6.332451256053731e-18)
22014209	(0.9996812892819633, 1.902351694648332e-12)
22014214	(0.9985350236316131, 3.956630481446087e-10)
22014215	(0.9999392499527342, 5.7533999583765266e-15)
22014220	(0.9999915724338543, 5.72125206588074e-18)
22014225	(0.999999281776429, 1.033821432442509e-21)
22014227	(0.9958258341090175, 1.5408743720281173e-08)
22014228	(0.997540078098744, 2.425060345385967e-09)
22014230	(0.9999603053258467, 1.2974275929905817e-15)
22014234	(0.999734070228949, 1.009506491260911e-12)
22014235	(0.9999989643334475, 3.7222576928085846e-21)
22014239	(0.9999980059610639, 3.6864124474887356e-20)
22014243	(0.9993653702925227, 2.118802360069285e-11)
22014248	(0.9999250217134944, 1.2016546646234135e-14)
22014251	(0.999723204209535, 1.1613907220074819e-12)
22014256	(0.999792530922324, 4.2343451943745916e-13)
22014257	(0.9998546823410763, 1.2178395152240138e-13)
22014261	(0.9990215626302953, 9.638056267155038e-11)
22014266	(0.9998734257078277, 7.51091552055451e-14)
22014270	(0.9998977445808696, 3.5595576903863644e-14)
22014273	(0.9999929520069384, 3.0602944011593738e-18)
22014274	(0.9999999380768465, 1.9454619795966831e-25)
22014275	(0.99965015238936, 2.636122044675739e-12)
22014278	(0.9971169615930002, 4.224697394950766e-09)
22014281	(0.9988547404769624, 1.6719260863722631e-10)
22014284	(0.9997416402637792, 9.124621684851035e-13)
22014285	(0.9956750622773993, 1.744371613462035e-08)
22014292	(0.999999816473076, 8.719392313879405e-24)
22014294	(0.9999994100070636, 5.193984383169534e-22)
22014296	(0.9999913633504027, 6.233643323460675e-18)
22014299	(0.9977822182986624, 1.687780805030219e-09)
22014301	(0.9999998576096547, 3.5868968453272076e-24)
22014307	(0.9991807258094652, 5.178375389422107e-11)
22014308	(0.9999935523490742, 2.2409885245536205e-18)
22014310	(0.9999623341373076, 1.079788899281969e-15)
22014311	(0.9998310316627477, 2.064354872388553e-13)
22014312	(0.9999817318424972, 8.5794796468196e-17)
22014314	(0.9999187064492794, 1.5947736318908584e-14)
22014316	(0.9999652686872751, 8.129176930463943e-16)
22014317	(0.9998315518916896, 2.0421959171009938e-13)
22014321	(0.9999817247040419, 8.591219114449812e-17)
22014322	(0.999999778591475, 1.6815784683815805e-23)
22014324	(0.9988991656386579, 1.4557911274729723e-10)
22014327	(0.9997376240132404, 9.630759879578666e-13)
22014328	(0.9996351012334311, 3.054825085833682e-12)
22014329	(0.9999672389422456, 6.626373583942234e-16)
22014330	(0.9966478534164046, 7.157334591277377e-09)
22014332	(0.9999090883869486, 2.358665921039111e-14)
22014338	(0.9994552153605376, 1.2419210475266948e-11)
22014340	(0.9996455410539338, 2.7597400076366264e-12)
22014342	(0.9999266285627725, 1.1139114240520336e-14)
22014343	(0.9992364225770478, 4.047625956958781e-11)
22014344	(0.9982073849739246, 8.016494872656803e-10)
22014347	(0.9998402208669681, 1.6974218630566372e-13)
22014348	(0.9993670215399999, 2.099573161954911e-11)
22014349	(0.9998620017151771, 1.0163345455371619e-13)
22014352	(0.9999996898788128, 5.468861784812317e-23)
22014354	(0.9999280939380089, 1.0379727489380163e-14)
22014357	(0.9999999809785808, 3.125267878141014e-27)
22014358	(0.9999287226547404, 1.0065544101287987e-14)
22014360	(0.9978920584160553, 1.4130309409573247e-09)
22014365	(0.9999584808415825, 1.5184112469405571e-15)
22014366	(0.9999829604783927, 6.724047039586677e-17)
22014368	(0.9980981364066078, 9.859650585750902e-10)
22014369	(0.9989220099910063, 1.3527993088434996e-10)
22014371	(0.9998194441798518, 2.6037604770716963e-13)
22014373	(0.9999820164025128, 8.120774670810934e-17)
22014374	(0.9998342270121168, 1.9309242106138348e-13)
22014380	(0.9999089122184964, 2.374701474363152e-14)
22014381	(0.9996268218936649, 3.3043498045195416e-12)
22014383	(0.9998295496602808, 2.1284214327675402e-13)
22014384	(0.99990611553406, 2.639827173398794e-14)
22014385	(0.9999069780869758, 2.555913795414505e-14)
22014386	(0.9986190998445093, 3.2175241699859353e-10)
22014388	(0.9999947527914089, 1.0896423693678897e-18)
22014396	(0.9994650624040772, 1.16512382477196e-11)
22014398	(0.9998009442621679, 3.663232202203467e-13)
22014402	(0.9999283649977662, 1.0243426955757988e-14)
22014403	(0.9999326646177692, 8.248220620769888e-15)
22014404	(0.9998046623548014, 3.4292992428558625e-13)
22014405	(0.9992449999666546, 3.89074364306957e-11)
22014406	(0.9995715322785962, 5.358824135731943e-12)
22014407	(0.9988136692080483, 1.891282240424174e-10)
22014408	(0.9999164462442578, 1.7554266339549138e-14)
22014413	(0.9997556092958442, 7.511561749897534e-13)
22014414	(0.999770097418155, 6.065176448370009e-13)
22014415	(0.999490290440145, 9.839013084853912e-12)
22014450	(0.9999961203232244, 3.78721373596549e-19)
22014452	(0.9999999984027003, 5.362774256033289e-31)
22014453	(0.999977938109297, 1.6606468321271458e-16)
22014458	(0.9999969112787952, 1.70514464575821e-19)
22014487	(0.9998411845930222, 1.661859097611603e-13)
22014504	(0.9992518719958454, 3.768224873816393e-11)
22014505	(0.999820363731916, 2.557645091569851e-13)
22014513	(0.9996375221246507, 2.9844839616160425e-12)
22014530	(0.9995799044836583, 5.001241401919754e-12)
22014550	(0.999307132278284, 2.8808497814968832e-11)
22014574	(0.9996421834855426, 2.8523137027715277e-12)
22014576	(0.9991744773179512, 5.317897594277679e-11)
22014583	(0.9999373539707632, 6.406753511903848e-15)
22014601	(0.9984582231668995, 4.731089732618365e-10)
22014632	(0.9999996436120178, 8.897491325983221e-23)
22014672	(0.9999834463245303, 6.07659910223985e-17)
22014723	(0.9999995406340334, 2.163180247472721e-22)
22014735	(0.999134096201026, 6.285142601662547e-11)
22014737	(0.99987415678822, 7.360175813544374e-14)
22014777	(0.999927041142647, 1.0921425385205939e-14)
22014809	(0.999216495941831, 4.429457672589204e-11)
22014810	(0.999988673071423, 1.6103668825253298e-17)
22014829	(0.9999826199092856, 7.20629180051159e-17)
22014837	(0.9999981561803197, 2.802533606774916e-20)
22014847	(0.9997949242909296, 4.0658394937974e-13)
22014849	(0.999997876413391, 4.5949529920030507e-20)
22014850	(0.9985638413932606, 3.690956424617763e-10)
22014851	(0.9999974720835761, 8.456788496199122e-20)
22014865	(0.9999833025181816, 6.26337512591506e-17)
22014881	(0.9999722538453817, 3.7045472474366933e-16)
22014886	(0.9999944089044407, 1.3607360410451982e-18)
22014914	(0.998945942643878, 1.2505952037289665e-10)
22014922	(0.9999983468645451, 1.912563614062196e-20)
22014937	(0.9978339073615048, 1.5541455607083265e-09)
22014947	(0.9997983956639799, 3.8300236808979056e-13)
22014953	(0.9999673414892107, 6.554062476661555e-16)
22014965	(0.9998507811159341, 1.3361564020383648e-13)
22014967	(0.9999891029612902, 1.4064107354761424e-17)
22014972	(0.9995112817311107, 8.492502520012493e-12)
22014975	(0.9998603630004437, 1.0592046162376874e-13)
22014993	(0.9999985648710025, 1.1658823535656635e-20)
22015006	(0.9999929767457048, 3.022862950909932e-18)
22015056	(0.9999238512286968, 1.268600984035673e-14)
22015064	(0.9999069798005271, 2.5557490152740818e-14)
0	(nan, nan)
